# #
#      RegulonDB is free for academic/noncommercial use 
# 
#      User is not entitled to change or erase data sets of the RegulonDB 
#      database or to eliminate copyright notices from RegulonDB. Furthermore, 
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly 
#      or as a whole into other databank systems, without prior written consent 
#      from CCG-UNAM. 
# 
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp 
# 
# Citation 
# 
#      Gama-Castro S. et al. (2016). "RegulonDB version 9.0: high-level integration of gene regulation, coexpression, motif clustering and beyond". 
#      Nucleic Acids Res. 2016 Jan 4;44(D1):D133-43. doi: 10.1093/nar/gkv1156. Epub 2015 Nov 2. 
# 
# 
# Contact 
# 
#      Person: RegulonDB Team 
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp 
#          (regulondb@ccg.unam.mx) 
# 
#
 # RegulonDB: 9.1
# Table: CONFORMATION_EFFECTOR_LINK
# Columns:
# 1) EFFECTOR_ID
# 2) CONFORMATION_ID
ECK120011196	ECK120011195
ECK120016261	ECK120016260
ECK120016261	ECK125110281
ECK120016261	ECK125160622
ECK120016261	ECK125147246
ECK120030010	ECK120030009
ECK120030024	ECK120030023
ECK120030024	ECK120030025
ECK120030060	ECK120030059
ECK120030066	ECK120030065
ECK120030266	ECK120030265
ECK120033481	ECK120033480
ECK120034462	ECK120034461
ECK120034578	ECK120034577
ECK120034984	ECK120034983
ECK120049025	ECK120049024
ECK120051453	ECK125110122
ECK125110180	ECK125110179
ECK125135089	ECK125147202
ECK125147179	ECK125147180
ECK125147181	ECK125147182
ECK125147230	ECK125147231
ECK125147230	ECK125147241
ECK125147243	ECK125147244
ECK125147278	ECK125147279
ECK125147283	ECK125147284
ECK125147285	ECK125147159
ECK125147286	ECK125147160
ECK125147287	ECK125147161
ECK125147288	ECK125147162
ECK125147289	ECK125147165
ECK125147290	ECK125147166
ECK125147291	ECK125147167
ECK125147292	ECK125147170
ECK125147294	ECK125147175
ECK125147294	ECK125147189
ECK125147295	ECK125147187
ECK125147296	ECK125147188
ECK125147297	ECK125147190
ECK125147298	ECK125147192
ECK125147299	ECK125162091
ECK125147300	ECK125147194
ECK125147303	ECK125141878
ECK125147303	ECK125147274
ECK125147304	ECK125147204
ECK125147305	ECK125147205
ECK125147306	ECK125147206
ECK125147307	ECK125147209
ECK125147308	ECK125147210
ECK125147309	ECK125147211
ECK125147311	ECK125147213
ECK125147312	ECK125147215
ECK125147313	ECK125147216
ECK125147314	ECK125147218
ECK125147315	ECK125147219
ECK125147316	ECK125147221
ECK125147317	ECK125147222
ECK125147318	ECK125147223
ECK125147319	ECK125147224
ECK125147320	ECK125147225
ECK125147321	ECK125147226
ECK125147322	ECK125147228
ECK125147323	ECK125147234
ECK125147324	ECK125147235
ECK125147325	ECK125147236
ECK125147328	ECK125147249
ECK125147330	ECK120031086
ECK125147330	ECK125147253
ECK125147331	ECK125147257
ECK125147333	ECK125147265
ECK125147334	ECK125147266
ECK125147335	ECK125147267
ECK125147336	ECK125147268
ECK125147358	ECK125147339
ECK125147358	ECK125147392
ECK125147359	ECK125147340
ECK125147360	ECK125147384
ECK125147361	ECK125147342
ECK125147362	ECK125147343
ECK125147363	ECK120030013
ECK125147364	ECK125147365
ECK125147366	ECK125147367
ECK125147366	ECK125160621
ECK125147368	ECK125147346
ECK125147369	ECK125147347
ECK125147370	ECK125147348
ECK125147371	ECK125147349
ECK125147373	ECK125147351
ECK125147374	ECK125147354
ECK125147375	ECK125147376
ECK125147379	ECK125147355
ECK125147380	ECK125147356
ECK125147381	ECK125147357
ECK125147385	ECK125147386
ECK125147393	ECK125147394
ECK125147395	ECK125147396
ECK125147397	ECK125147220
ECK125147397	ECK125147398
ECK125147399	ECK125147400
ECK125147401	ECK125147402
ECK125147403	ECK125147242
ECK125147403	ECK125147407
ECK125147404	ECK125147275
ECK125147404	ECK125147383
ECK125147405	ECK125147406
ECK125147408	ECK120015682
ECK125147408	ECK125158293
ECK125158286	ECK125158285
ECK125158288	ECK125158287
ECK125160710	ECK120051447
ECK125161300	ECK125161299
ECK129999996	ECK120011473
ECK129999998	ECK120034781
