0,1,2,3,4
mir-3,FBgn0262372,2R,19661595,19661663
mir-92b,FBgn0262388,3R,25651398,25651497
mir-313,FBgn0262441,2R,20584190,20584260
CG12725,FBgn0030483,X,13401839,13402863
Ccp84Ag,FBgn0004777,3R,6686728,6688039
snRNA:U11,FBgn0083987,3L,3893056,3893330
zen,FBgn0004053,3R,6752864,6754194
CG44954,FBgn0266259,3R,30618626,30621906
CG43111,FBgn0262571,2R,19552071,19552672
CG6262,FBgn0034121,2R,16359730,16363524
CG42704,FBgn0261615,X,7412668,7413296
CG34015,FBgn0054015,X,16447568,16448302
Ocho,FBgn0040296,3L,14974848,14976040
skf,FBgn0262600,3L,14974848,14976040
CG34007,FBgn0054007,2L,20495030,20495758
5SrRNA,FBgn0000002,2L,20495030,20495758
mir-1007,FBgn0262454,X,21296385,21296449
mir-9b,FBgn0262413,2L,16698744,16698834
mir-2494,FBgn0262233,3R,16618766,16618882
B0326,FBgn0259651,3R,16618766,16618882
4.5SRNA,FBgn0000001,3R,16618766,16618882
CG8366,FBgn0034054,2R,15955040,15956636
SP1173,FBgn0035710,3L,6689327,6703521
Cyp316a1,FBgn0035790,3L,7491864,7493484
l(3)CHg,FBgn0086423,3L,7491864,7493484
Osi4,FBgn0037412,3R,6218318,6221781
CG8620,FBgn0040837,3L,7158099,7158874
CG10463,FBgn0032819,2L,19758879,19760986
CG42518,FBgn0260392,2R,18167227,18168380
fred,FBgn0051774,2L,3902928,3991713
CG8813,FBgn0031476,2L,2869652,2870649
Or7a,FBgn0030016,X,8164266,8165708
Nos,FBgn0011676,2L,10804274,10837511
Sap-r,FBgn0000416,3R,30883464,30889062
ECSIT,FBgn0028436,3R,5856585,5857914
CG10677,FBgn0035596,3R,5856585,5857914
Acp26Aa,FBgn0002855,2L,5892883,5893896
ng3,FBgn0010295,X,3241491,3242084
robl62A,FBgn0028567,3L,1477619,1478369
Spn43Aa,FBgn0024294,2R,7147692,7149289
l(3)CHc,FBgn0086419,2R,7147692,7149289
snRNA:U6:96Ab,FBgn0004189,3R,24556692,24556798
sob,FBgn0004892,2L,3578013,3580769
alpha-Est8,FBgn0015576,3R,7509343,7515670
CG10814,FBgn0033830,2R,13375975,13377731
CG10948,FBgn0036317,3L,12844254,12850117
CG12538,FBgn0038157,3R,13522951,13523535
mir-4983,FBgn0263515,2R,19637414,19637521
MFS3,FBgn0031307,2L,1143201,1147395
snoRNA:M,FBgn0044508,X,1482492,1482590
CG10934,FBgn0034263,2R,17722339,17723381
CG12419,FBgn0037769,2R,17722339,17723381
CG12540,FBgn0030570,X,14496135,14497240
CG12418,FBgn0040536,X,14496135,14497240
snoRNA:U27:54Eb,FBgn0063387,2R,17702637,17702708
snoRNA:U49:66Da,FBgn0060292,3L,8601473,8601552
snRNA:U2:14B,FBgn0003920,X,16254672,16254863
Cec-Psi1,FBgn0000280,3R,30211527,30211753
5SrRNA:CR33353,FBgn0053353,2R,19766144,19766278
CG13197,FBgn0062449,2R,11691285,11697785
CG30020,FBgn0050020,2R,10886810,10893191
CG33981,FBgn0250851,2R,17773964,17781930
4A1,FBgn0264355,2R,17773964,17781930
CG32388,FBgn0250849,3L,6983473,6984586
Cyp4ac1,FBgn0031693,2L,5264001,5265899
CG30071,FBgn0050071,2L,5264001,5265899
mir-4958,FBgn0263516,X,16080923,16081056
CG12612,FBgn0030896,X,16080923,16081056
CG12650,FBgn0040932,X,16080923,16081056
mys,FBgn0004657,X,8061645,8070237
CG3071,FBgn0023527,X,2262837,2264825
CG15172,FBgn0032740,2L,19022417,19023646
CG12454,FBgn0040870,2L,19022417,19023646
CG12726,FBgn0030487,2L,19022417,19023646
CG30265,FBgn0050265,2R,22832456,22834580
CG30130,FBgn0050130,2R,22832456,22834580
Gr59b,FBgn0045482,2R,23082203,23083366
HLH4C,FBgn0011277,X,4645127,4647414
CG14174,FBgn0036036,3L,9719328,9720464
CG12710,FBgn0040630,3L,9719328,9720464
Ir56a,FBgn0050125,2R,19094267,19096174
snoRNA:Psi28S-2949,FBgn0082981,2R,9095372,9095526
snoRNA:Me28S-G3255a,FBgn0082928,2R,9095996,9096080
snoRNA:Me28S-A982a,FBgn0082943,2R,9096237,9096313
snoRNA:Me28S-A982b,FBgn0082942,2R,9096506,9096582
snoRNA:Me28S-G3255b,FBgn0082927,2R,9096763,9096844
otu,FBgn0003023,X,8485008,8489535
CG1640,FBgn0030478,X,13370606,13380160
lectin-46Ca,FBgn0040093,2R,9817300,9818535
Trap1,FBgn0026761,2R,6633647,6636262
l(2)k14501,FBgn0264311,2R,6633647,6636262
Gr59d,FBgn0041236,2R,23103941,23105169
CG14325,FBgn0038531,3R,17627127,17629012
CG30379,FBgn0050379,2R,7939956,7941870
CG1791,FBgn0030163,X,9963453,9964878
Tengl2,FBgn0052463,2L,2238304,2239384
CG42486,FBgn0259989,2L,11843137,11844063
CG15739,FBgn0030347,X,11873319,11875346
Ir60b,FBgn0259185,2R,24515685,24517458
Or45b,FBgn0033422,2R,9559598,9561068
Phf7,FBgn0031091,X,20160355,20165830
CG12970,FBgn0034047,2R,15855961,15857522
CG30378,FBgn0050378,2R,7950339,7951492
CG30477,FBgn0050477,2R,7950339,7951492
CG3225,FBgn0031631,2L,4815613,4818245
Tengl4,FBgn0037857,3R,10950284,10951797
CG32079,FBgn0052079,3L,11025561,11027332
mir-4976,FBgn0263517,2R,6835533,6835635
CG14479,FBgn0034228,2R,6835533,6835635
CG14491,FBgn0034284,2R,17895078,17895578
CG14492,FBgn0034283,2R,17893682,17894342
l(3)CHd,FBgn0086420,2R,17893682,17894342
CG32070,FBgn0052070,2R,17893682,17894342
CG3436,FBgn0031229,2L,156029,157666
hts,FBgn0263391,2R,19397032,19424903
CG3032,FBgn0029928,X,7012239,7013881
CG1998,FBgn0030485,X,13409369,13413074
CG14519,FBgn0039619,X,13409369,13413074
CG14532,FBgn0031966,X,13409369,13413074
CG14574,FBgn0037104,X,13409369,13413074
dpr10,FBgn0052057,3L,10147454,10186108
CG13366,FBgn0025633,X,585081,620195
Pfrx,FBgn0027621,X,19495505,19509350
sty,FBgn0014388,3L,3401153,3424935
CG32080,FBgn0052080,3L,3401153,3424935
CG32083,FBgn0052083,3L,3401153,3424935
CG32233,FBgn0052233,3L,3401153,3424935
blue,FBgn0283709,3L,3401153,3424935
8D2,FBgn0264356,3L,3401153,3424935
CG3557,FBgn0031423,2L,2384761,2385792
CG3513,FBgn0031559,2L,3692699,3693182
CG32137,FBgn0052137,3L,13939250,13962647
CG32151,FBgn0052151,3L,13939250,13962647
CG43773,FBgn0264295,2L,4007690,4007984
sad,FBgn0003312,3R,11877235,11879754
CG14739,FBgn0037987,3R,12048253,12049213
CG15475,FBgn0032867,2L,20614522,20615559
stc,FBgn0001978,2L,15113480,15118069
Swip-1,FBgn0032731,2L,18977519,18987280
CG3610,FBgn0038266,3R,14845043,14846737
mir-4975,FBgn0263518,2R,6707163,6707273
CG32254,FBgn0052254,2R,6707163,6707273
CG32275,FBgn0052275,2R,6707163,6707273
CG14810,FBgn0029589,X,1819495,1820341
mir-4964,FBgn0263519,X,8965801,8965912
Act88F,FBgn0000047,3R,15439969,15442177
CG14997,FBgn0035515,3L,4240173,4242603
CG32336,FBgn0052336,3L,4240173,4242603
CG5316,FBgn0038704,3R,19403455,19406294
mir-927,FBgn0262210,X,15965947,15966038
B0462,FBgn0259652,X,15965947,15966038
l(3)1025,FBgn0260488,X,15965947,15966038
mir-965,FBgn0262252,2L,243035,243141
Or65b,FBgn0041624,3L,6325612,6327049
CG32440,FBgn0052440,3L,21360179,21361229
CG32494,FBgn0052494,3L,21360179,21361229
CG5347,FBgn0030578,X,14776774,14777983
CG32521,FBgn0052521,X,21205310,21281171
CG32586,FBgn0052586,X,21205310,21281171
CG34030,FBgn0054030,3L,7073476,7075247
l(3)CHe,FBgn0086421,3L,7073476,7075247
CG32504,FBgn0052504,3L,7073476,7075247
CG5561,FBgn0031333,2L,1352970,1354109
l(3)CHf,FBgn0086422,2L,1352970,1354109
mir-4945,FBgn0263520,3R,11442192,11442306
CG32613,FBgn0052613,3R,11442192,11442306
CG32614,FBgn0052614,3R,11442192,11442306
CG32710,FBgn0052710,3R,11442192,11442306
GluRIID,FBgn0028422,3R,20648595,20652450
CG30500,FBgn0050500,3R,20648595,20652450
Or98a,FBgn0039551,3R,27845950,27847260
CG32741,FBgn0052741,3R,27845950,27847260
CG5568,FBgn0035641,3L,5871501,5873518
l(3)9374,FBgn0260489,3L,5871501,5873518
CG16721,FBgn0029820,X,5879869,5883391
Vml,FBgn0085362,X,2275822,2277781
CG32802,FBgn0052802,X,2275822,2277781
CG32804,FBgn0052804,X,2275822,2277781
Toll-4,FBgn0032095,2L,9084107,9089440
CG18266,FBgn0031724,2L,5596833,5598636
ppk19,FBgn0039679,3R,29672456,29674223
CG18482,FBgn0028891,3R,29672456,29674223
CG16998,FBgn0035795,3L,7539060,7539836
CG44215,FBgn0265146,3R,14153990,14154441
mthl12,FBgn0045442,3R,13353673,13355413
MtnD,FBgn0053192,3R,20534962,20535301
CG16894,FBgn0034483,2R,20211585,20212619
CG5758,FBgn0032666,2L,18119995,18129862
CG7183,FBgn0038583,3R,18218147,18220699
rtet,FBgn0028468,3R,21108446,21110834
Jon66Cii,FBgn0035887,3L,8392820,8393649
Gr68a,FBgn0041231,3L,11751305,11752474
CG5906,FBgn0036217,3L,11870457,11871305
Slc45-1,FBgn0035968,3L,9203065,9208853
CG5767,FBgn0034292,2R,18046386,18047484
Or33a,FBgn0026392,2L,11934505,11935716
CG18538,FBgn0034324,2R,18297070,18297751
CG18545,FBgn0037812,3R,10340949,10341668
yellow-f,FBgn0041710,3R,12991449,12993201
CtIP,FBgn0036991,3L,20436250,20438370
capu,FBgn0000256,2L,3872646,3902860
CG7381,FBgn0038098,3R,12967775,12977471
B0538,FBgn0259653,3R,12967775,12977471
ACXC,FBgn0040508,2L,12912530,12916774
Adgf-B,FBgn0036751,3L,17748833,17750588
CG7366,FBgn0035855,3L,8201078,8202417
viaf,FBgn0036237,3L,11991853,11993179
Eig71Ej,FBgn0014850,3L,15660549,15661015
CG7509,FBgn0035575,3L,4803077,4805274
l(3)CHa,FBgn0086417,3L,4803077,4805274
CG14042,FBgn0260451,2L,5037709,5040818
CG7543,FBgn0036164,2L,5037709,5040818
CG12730,FBgn0029771,X,5516608,5518771
CG9072,FBgn0030614,X,15095458,15096042
l(3)CHb,FBgn0086418,X,15095458,15096042
CR33797,FBgn0053797,4,843274,843973
mir-992,FBgn0262334,2R,20585314,20585405
CG7794,FBgn0038565,3R,18023707,18025378
CG7791,FBgn0033038,2R,5758065,5760407
CG34447,FBgn0085476,2L,2418422,2420013
mir-4969,FBgn0263521,3R,21798514,21798671
mir-929,FBgn0262214,3R,4295369,4295456
snRNA:U1:95Ca,FBgn0004185,3R,23859467,23859630
Menl-1,FBgn0029154,2R,16414815,16419398
CG11042,FBgn0030094,2R,16414815,16419398
suffix\ORF,FBgn0266118,2R,16414815,16419398
mir-4982,FBgn0263522,2R,18720169,18720287
snRNA:U6:96Ac,FBgn0004190,3R,24557215,24557321
CG10474,FBgn0034427,2R,19285395,19286730
CG9471,FBgn0037749,3R,9770532,9771542
CG11297,FBgn0011295,3R,9770532,9771542
Cyp6t2Psi,FBgn0041336,2L,21282811,21284273
mir-133,FBgn0262445,2L,20616617,20616714
CG9663,FBgn0031516,2L,3294926,3303130
snRNA:U2:34ABa,FBgn0004191,2L,13211925,13212116
mir-4972,FBgn0263523,2L,3636967,3637073
Gr22d,FBgn0045498,2L,1789141,1790361
5SrRNA:CR33380,FBgn0053380,2R,19756141,19756275
5SrRNA:CR33381,FBgn0053381,2R,19755772,19755906
5SrRNA:CR33383,FBgn0053383,2R,19755034,19755168
5SrRNA:CR33388,FBgn0053388,2R,19753189,19753323
5SrRNA:CR33389,FBgn0053389,2R,19752816,19752950
5SrRNA:CR33398,FBgn0053398,2R,19749512,19749646
5SrRNA:CR33399,FBgn0053399,2R,19749143,19749277
CG13021,FBgn0029669,X,3514316,3515757
Or59a,FBgn0026384,2R,23439868,23441065
GS5246,FBgn0263073,2R,23439868,23441065
5SrRNA:CR33354,FBgn0053354,2R,19765775,19765909
snRNA:U7,FBgn0053504,3L,3593823,3593893
snoRNA:U3:54Ab,FBgn0065047,2R,17145654,17145826
Or85d,FBgn0037594,3R,8552608,8553968
CG13157,FBgn0033732,2R,12416044,12418231
CG11986,FBgn0037656,3R,9015446,9016822
axed,FBgn0035708,3L,6609325,6619113
snmRNA:400,FBgn0065095,X,1558349,1558400
CR33629,FBgn0053629,3R,10061686,10062314
CG11842,FBgn0039629,3R,29052680,29053913
snmRNA:204,FBgn0065101,X,13128596,13128630
Rac1,FBgn0010333,3L,1300879,1302683
snmRNA:765,FBgn0065083,2L,5193471,5193516
CR33701,FBgn0053701,3L,9513645,9513959
snmRNA:157,FBgn0065105,3R,27560928,27560970
Prosbeta3,FBgn0026380,3R,9005313,9006226
snmRNA:838,FBgn0065081,3L,9716803,9716875
mir-3643,FBgn0263629,2R,17766393,17766460
l(1)G0193,FBgn0027280,X,7941478,7946908
snoRNA:Psi28S-1936,FBgn0082993,2R,11588183,11588331
snoRNA:Psi28S-1153,FBgn0083006,2R,13557539,13557686
snoRNA:Me18S-C1366,FBgn0082951,2R,14621782,14621881
CG13407,FBgn0038931,3R,22103414,22105590
CG13479,FBgn0040811,3R,22103414,22105590
Cby,FBgn0067317,3R,21868003,21868770
mir-4911,FBgn0263525,3R,15836287,15836354
CG31101,FBgn0051101,3R,15836287,15836354
CG31112,FBgn0051112,3R,15836287,15836354
CG4038,FBgn0011824,2R,21095958,21097305
CG31199,FBgn0051199,3R,20742800,20743869
CG13711,FBgn0035572,3L,4757883,4758708
CG13542,FBgn0034809,3L,4757883,4758708
CG13416,FBgn0038906,3L,4757883,4758708
Gr93a,FBgn0041229,3R,21832503,21834013
Gr57a,FBgn0041240,2R,20685605,20686910
CG13594,FBgn0035041,2R,24615423,24638588
CG13590,FBgn0035012,2R,24493256,24493948
Obp58d,FBgn0034770,2R,22706934,22707772
CG31019,FBgn0051019,3R,30597004,30599296
CG15011,FBgn0035518,3L,4255991,4259152
Nep4,FBgn0038818,3R,20652567,20659904
CG31172,FBgn0051172,3R,20652567,20659904
CG31182,FBgn0051182,3R,20652567,20659904
CG15030,FBgn0030621,3R,20652567,20659904
CG31078,FBgn0051078,3R,20652567,20659904
CG13603,FBgn0039135,3R,23985213,23986569
CG13630,FBgn0039219,3R,24717937,24719364
CG13647,FBgn0039256,3R,24717937,24719364
gek,FBgn0023081,2R,24092079,24098636
Gr93c,FBgn0045469,3R,21844014,21845265
Mo25,FBgn0017572,3L,16613218,16615472
B0960,FBgn0259654,3L,16613218,16615472
CG2652,FBgn0025838,X,2681987,2682932
CG2681,FBgn0024997,X,2708684,2711668
CG31210,FBgn0051210,X,2708684,2711668
CG31257,FBgn0051257,X,2708684,2711668
CG31245,FBgn0051245,3R,19376195,19377225
CG15234,FBgn0040673,3R,19376195,19377225
Gr93d,FBgn0045468,3R,21845454,21846659
CG15292,FBgn0040977,3R,21845454,21846659
CG31315,FBgn0051315,3R,21845454,21846659
mir-4971,FBgn0263526,2L,3463290,3463400
CG15374,FBgn0037152,2L,3463290,3463400
CG13998,FBgn0040949,2L,5956489,5956819
CG13972,FBgn0039522,3R,27515911,27517257
CG2879,FBgn0025834,3R,27515911,27517257
Pif2,FBgn0046873,3R,6549036,6549983
CG31484,FBgn0051484,3R,6549036,6549983
CG15498,FBgn0038892,3R,21567519,21569149
CG15499,FBgn0038891,3R,21567519,21569149
Fer3HCH,FBgn0030449,X,13107382,13108194
CG15459,FBgn0031108,X,20412341,20413581
hep,FBgn0010303,X,13079205,13090434
5SrRNA:CR33355,FBgn0053355,2R,19765409,19765543
mir-309,FBgn0262380,2R,19661706,19661774
CG31736,FBgn0051736,2R,19661706,19661774
abb,FBgn0000012,2R,19661706,19661774
abd,FBgn0000013,2R,19661706,19661774
abr,FBgn0000019,2R,19661706,19661774
CG31650,FBgn0031673,2L,5040648,5044712
CG4483,FBgn0035970,3L,9235150,9236648
aa,FBgn0000010,3L,9235150,9236648
mthl1,FBgn0030766,X,16640968,16650309
abt,FBgn0000020,X,16640968,16650309
dpr11,FBgn0053202,3R,6529169,6593330
Ostgamma,FBgn0032015,2L,8306696,8308192
His3:CG31613,FBgn0051613,2L,21425193,21425721
CG17191,FBgn0039473,3R,27018608,27019751
CG15820,FBgn0035312,3L,2172995,2174332
Obp93a,FBgn0038859,3R,21128950,21129717
CG31867,FBgn0051867,2L,11144579,11145417
CG4629,FBgn0031299,2L,1083091,1102504
mir-2496,FBgn0262297,X,2010300,2010417
Trl,FBgn0013263,3L,14747929,14761049
CG11555,FBgn0086856,2L,273836,274766
CG15880,FBgn0031283,2L,816994,817950
CG31016,FBgn0051016,3R,30606189,30610456
CG4892,FBgn0028884,2L,16133508,16134412
CG15911,FBgn0040878,2L,16133508,16134412
CG6209,FBgn0033862,2R,13661495,13663598
sds22,FBgn0028992,3R,17391594,17393020
CG6236,FBgn0038318,3R,15325325,15328269
CG6227,FBgn0030631,X,15345169,15350021
unc-4,FBgn0024184,X,17768569,17778708
CG33541,FBgn0053541,X,17768569,17778708
CG6347,FBgn0033874,2R,13836419,13839363
CG17470,FBgn0032869,2L,20642306,20643244
CG4956,FBgn0039370,3R,25777268,25778305
CG4959,FBgn0028883,3R,25777268,25778305
mir-4917,FBgn0263530,X,14199545,14199621
CG4962,FBgn0036597,3L,16294711,16295547
CG33477,FBgn0053477,2R,10409155,10409751
Tsp66E,FBgn0035936,3L,8912499,8932065
CG33500,FBgn0053500,3L,11508637,11508903
alpha-Man-Ib,FBgn0039634,3R,29109053,29112822
mir-4955,FBgn0263531,X,2544740,2544908
CG6441,FBgn0031920,2L,7474704,7476952
CG43203,FBgn0262839,3R,19354051,19354884
Or94b,FBgn0039034,3R,22989295,22990568
CG33630,FBgn0053630,3R,10062624,10063327
CG33631,FBgn0053631,3R,10064007,10064645
grk,FBgn0001137,2L,8431086,8433598
CG33651,FBgn0053651,2L,8431086,8433598
CG33654,FBgn0053654,3R,9582515,9583222
CG17631,FBgn0038392,3R,9582515,9583222
tra,FBgn0003741,3L,16590059,16591050
CG33258,FBgn0053258,3L,16082551,16083638
bw,FBgn0000241,2R,23527805,23538499
mir-4962,FBgn0263532,X,3777382,3777505
mir-4973,FBgn0263533,2L,20562298,20562448
mir-4960,FBgn0263534,X,569903,570003
CG8119,FBgn0030664,X,15662585,15663319
CG11113,FBgn0033165,2R,7401859,7402364
CG6652,FBgn0036687,3L,17020348,17022856
CG33752,FBgn0053752,2R,12545689,12546301
CG33702,FBgn0053702,3L,9512797,9513409
CG33703,FBgn0053703,3L,9512008,9512660
IM18,FBgn0067903,2R,23600914,23601773
CG11226,FBgn0037195,3L,22837068,22838170
CG17732,FBgn0036923,3L,19981685,19984191
CG9689,FBgn0030159,X,9881953,9883670
IP3K2,FBgn0283680,X,13303633,13329303
CG32817,FBgn0052817,X,479066,480166
CG6788,FBgn0030880,X,17888177,17889404
His4:CG33873,FBgn0053873,2L,21524399,21524926
temp,FBgn0027296,X,2260207,2262515
GABA-B-R2,FBgn0027575,3R,21770333,21775840
Cbp53E,FBgn0004580,2R,16973927,16996057
Mst89B,FBgn0020399,3R,16267012,16268433
CG33911,FBgn0053911,3R,16267012,16268433
CG6800,FBgn0038902,3R,21776138,21777213
boss,FBgn0000206,3R,25961994,25966948
CG6836,FBgn0036834,3L,18950629,18955406
mir-3641,FBgn0263630,X,2171086,2171154
CG41466,FBgn0084027,X,2171086,2171154
CG14359,FBgn0040559,X,2171086,2171154
CG41481,FBgn0084041,X,2171086,2171154
